business_activity_description,Cost,Vendor,Comment,2017 NAICS Title
Activities related to other vegetable (except potato) and melon farming.,9611.24,EcoFarms,Procured for other vegetable (except potato) and melon farming operations.,Other Vegetable (except Potato) and Melon Farming
Activities related to dairy cattle and milk production.,29114.19,EcoFarms,Procured for dairy cattle and milk production operations.,Dairy Cattle and Milk Production
Activities related to soybean farming.,40581.37,AgriCorp,Procured for soybean farming operations.,Soybean Farming
Activities related to sugarcane farming.,14222.64,BioHarvest,Procured for sugarcane farming operations.,Sugarcane Farming
Activities related to dual-purpose cattle ranching and farming.,30254.24,CropGen,Procured for dual-purpose cattle ranching and farming operations.,Dual-Purpose Cattle Ranching and Farming
Activities related to potato farming.,43781.72,EcoFarms,Procured for potato farming operations.,Potato Farming
Activities related to dry pea and bean farming.,28168.14,AgriCorp,Procured for dry pea and bean farming operations.,Dry Pea and Bean Farming
Activities related to other vegetable (except potato) and melon farming.,11964.47,AgriCorp,Procured for other vegetable (except potato) and melon farming operations.,Other Vegetable (except Potato) and Melon Farming
Activities related to fur-bearing animal and rabbit production.,42292.33,EcoFarms,Procured for fur-bearing animal and rabbit production operations.,Fur-Bearing Animal and Rabbit Production
Activities related to sugar beet farming.,43124.91,AgriCorp,Procured for sugar beet farming operations.,Sugar Beet Farming
Activities related to cotton farming.,47902.95,EcoFarms,Procured for cotton farming operations.,Cotton Farming
Activities related to tobacco farming.,41919.55,CropGen,Procured for tobacco farming operations.,Tobacco Farming
Activities related to other noncitrus fruit farming.,41122.64,AgriCorp,Procured for other noncitrus fruit farming operations.,Other Noncitrus Fruit Farming
Activities related to other vegetable (except potato) and melon farming.,27118.97,AgriCorp,Procured for other vegetable (except potato) and melon farming operations.,Other Vegetable (except Potato) and Melon Farming
Activities related to all other animal production.,18840.89,AgriCorp,Procured for all other animal production operations.,All Other Animal Production
Activities related to potato farming.,13410.95,BioHarvest,Procured for potato farming operations.,Potato Farming
Activities related to apiculture.,21648.97,BioHarvest,Procured for apiculture operations.,Apiculture
Activities related to orange groves.,42968.08,EcoFarms,Procured for orange groves operations.,Orange Groves
Activities related to other aquaculture.,43279.85,BioHarvest,Procured for other aquaculture operations.,Other Aquaculture
Activities related to all other grain farming.,31794.62,BioHarvest,Procured for all other grain farming operations.,All Other Grain Farming
Activities related to all other miscellaneous crop farming.,47602.56,AgriCorp,Procured for all other miscellaneous crop farming operations.,All Other Miscellaneous Crop Farming
Activities related to dual-purpose cattle ranching and farming.,19125.77,EcoFarms,Procured for dual-purpose cattle ranching and farming operations.,Dual-Purpose Cattle Ranching and Farming
Activities related to soybean farming.,12187.84,FreshFields,Procured for soybean farming operations.,Soybean Farming
Activities related to peanut farming.,14490.71,EcoFarms,Procured for peanut farming operations.,Peanut Farming
Activities related to tree nut farming.,37373.72,FreshFields,Procured for tree nut farming operations.,Tree Nut Farming
Activities related to rice farming.,4836.96,FreshFields,Procured for rice farming operations.,Rice Farming
Activities related to all other miscellaneous crop farming.,44138.46,BioHarvest,Procured for all other miscellaneous crop farming operations.,All Other Miscellaneous Crop Farming
Activities related to apple orchards.,19281.49,BioHarvest,Procured for apple orchards operations.,Apple Orchards
Activities related to other aquaculture.,34521.17,CropGen,Procured for other aquaculture operations.,Other Aquaculture
Activities related to berry (except strawberry) farming.,45939.57,BioHarvest,Procured for berry (except strawberry) farming operations.,Berry (except Strawberry) Farming
Activities related to oilseed and grain combination farming.,37017.93,EcoFarms,Procured for oilseed and grain combination farming operations.,Oilseed and Grain Combination Farming
Activities related to tobacco farming.,6881.71,CropGen,Procured for tobacco farming operations.,Tobacco Farming
Activities related to soybean farming.,11030.34,FreshFields,Procured for soybean farming operations.,Soybean Farming
Activities related to apple orchards.,16180.3,EcoFarms,Procured for apple orchards operations.,Apple Orchards
Activities related to goat farming.,41591.88,BioHarvest,Procured for goat farming operations.,Goat Farming
Activities related to all other miscellaneous crop farming.,14274.18,EcoFarms,Procured for all other miscellaneous crop farming operations.,All Other Miscellaneous Crop Farming
Activities related to sugar beet farming.,43119.58,CropGen,Procured for sugar beet farming operations.,Sugar Beet Farming
Activities related to berry (except strawberry) farming.,33789.55,BioHarvest,Procured for berry (except strawberry) farming operations.,Berry (except Strawberry) Farming
Activities related to orange groves.,29696.67,BioHarvest,Procured for orange groves operations.,Orange Groves
Activities related to goat farming.,44626.65,AgriCorp,Procured for goat farming operations.,Goat Farming
Activities related to cattle feedlots.,43888.71,CropGen,Procured for cattle feedlots operations.,Cattle Feedlots
Activities related to hog and pig farming.,3558.53,BioHarvest,Procured for hog and pig farming operations.,Hog and Pig Farming
Activities related to orange groves.,8482.07,FreshFields,Procured for orange groves operations.,Orange Groves
Activities related to other vegetable (except potato) and melon farming.,14410.28,FreshFields,Procured for other vegetable (except potato) and melon farming operations.,Other Vegetable (except Potato) and Melon Farming
Activities related to potato farming.,49038.57,EcoFarms,Procured for potato farming operations.,Potato Farming
Activities related to poultry hatcheries.,47397.1,BioHarvest,Procured for poultry hatcheries operations.,Poultry Hatcheries
Activities related to nursery and tree production.,40240.94,AgriCorp,Procured for nursery and tree production operations.,Nursery and Tree Production
Activities related to nursery and tree production.,25673.26,BioHarvest,Procured for nursery and tree production operations.,Nursery and Tree Production
Activities related to tree nut farming.,12757.47,FreshFields,Procured for tree nut farming operations.,Tree Nut Farming
Activities related to citrus (except orange) groves.,10477.02,EcoFarms,Procured for citrus (except orange) groves operations.,Citrus (except Orange) Groves
Activities related to rice farming.,17060.71,FreshFields,Procured for rice farming operations.,Rice Farming
Activities related to corn farming.,26816.23,AgriCorp,Procured for corn farming operations.,Corn Farming
Activities related to berry (except strawberry) farming.,24396.02,EcoFarms,Procured for berry (except strawberry) farming operations.,Berry (except Strawberry) Farming
Activities related to sugarcane farming.,48340.01,FreshFields,Procured for sugarcane farming operations.,Sugarcane Farming
Activities related to other aquaculture.,47248.75,BioHarvest,Procured for other aquaculture operations.,Other Aquaculture
Activities related to apple orchards.,36764.99,EcoFarms,Procured for apple orchards operations.,Apple Orchards
Activities related to other poultry production.,48676.22,AgriCorp,Procured for other poultry production operations.,Other Poultry Production
Activities related to apiculture.,7311.29,EcoFarms,Procured for apiculture operations.,Apiculture
Activities related to other noncitrus fruit farming.,9448.17,FreshFields,Procured for other noncitrus fruit farming operations.,Other Noncitrus Fruit Farming
Activities related to horses and other equine production.,17485.18,CropGen,Procured for horses and other equine production operations.,Horses and Other Equine Production
Activities related to beef cattle ranching and farming.,24804.49,AgriCorp,Procured for beef cattle ranching and farming operations.,Beef Cattle Ranching and Farming
Activities related to all other miscellaneous crop farming.,41179.1,CropGen,Procured for all other miscellaneous crop farming operations.,All Other Miscellaneous Crop Farming
Activities related to peanut farming.,45344.16,FreshFields,Procured for peanut farming operations.,Peanut Farming
Activities related to all other miscellaneous crop farming.,11601.92,BioHarvest,Procured for all other miscellaneous crop farming operations.,All Other Miscellaneous Crop Farming
Activities related to shellfish farming.,10205.32,AgriCorp,Procured for shellfish farming operations.,Shellfish Farming
Activities related to other aquaculture.,21385.29,EcoFarms,Procured for other aquaculture operations.,Other Aquaculture
Activities related to all other animal production.,48525.11,AgriCorp,Procured for all other animal production operations.,All Other Animal Production
Activities related to potato farming.,18950.8,FreshFields,Procured for potato farming operations.,Potato Farming
Activities related to oilseed and grain combination farming.,27975.21,CropGen,Procured for oilseed and grain combination farming operations.,Oilseed and Grain Combination Farming
Activities related to poultry hatcheries.,2441.4,CropGen,Procured for poultry hatcheries operations.,Poultry Hatcheries
Activities related to chicken egg production.,40169.8,BioHarvest,Procured for chicken egg production operations.,Chicken Egg Production
Activities related to apple orchards.,2044.87,BioHarvest,Procured for apple orchards operations.,Apple Orchards
Activities related to potato farming.,14526.95,BioHarvest,Procured for potato farming operations.,Potato Farming
Activities related to corn farming.,27046.17,BioHarvest,Procured for corn farming operations.,Corn Farming
Activities related to cattle feedlots.,25286.78,CropGen,Procured for cattle feedlots operations.,Cattle Feedlots
Activities related to dairy cattle and milk production.,13130.99,FreshFields,Procured for dairy cattle and milk production operations.,Dairy Cattle and Milk Production
Activities related to apple orchards.,47445.99,BioHarvest,Procured for apple orchards operations.,Apple Orchards
Activities related to wheat farming.,10825.52,CropGen,Procured for wheat farming operations.,Wheat Farming
Activities related to cattle feedlots.,35815.64,EcoFarms,Procured for cattle feedlots operations.,Cattle Feedlots
Activities related to other aquaculture.,11049.65,EcoFarms,Procured for other aquaculture operations.,Other Aquaculture
Activities related to nursery and tree production.,6837.57,BioHarvest,Procured for nursery and tree production operations.,Nursery and Tree Production
Activities related to poultry hatcheries.,38012.18,AgriCorp,Procured for poultry hatcheries operations.,Poultry Hatcheries
Activities related to berry (except strawberry) farming.,46679.76,EcoFarms,Procured for berry (except strawberry) farming operations.,Berry (except Strawberry) Farming
Activities related to goat farming.,42809.73,AgriCorp,Procured for goat farming operations.,Goat Farming
Activities related to tobacco farming.,39237.45,BioHarvest,Procured for tobacco farming operations.,Tobacco Farming
Activities related to tree nut farming.,29873.06,FreshFields,Procured for tree nut farming operations.,Tree Nut Farming
Activities related to tobacco farming.,11858.28,CropGen,Procured for tobacco farming operations.,Tobacco Farming
Activities related to poultry hatcheries.,34970.99,BioHarvest,Procured for poultry hatcheries operations.,Poultry Hatcheries
Activities related to poultry hatcheries.,34443.9,FreshFields,Procured for poultry hatcheries operations.,Poultry Hatcheries
Activities related to all other grain farming.,46389.46,CropGen,Procured for all other grain farming operations.,All Other Grain Farming
Activities related to dual-purpose cattle ranching and farming.,26936.91,BioHarvest,Procured for dual-purpose cattle ranching and farming operations.,Dual-Purpose Cattle Ranching and Farming
Activities related to peanut farming.,43527.75,CropGen,Procured for peanut farming operations.,Peanut Farming
Activities related to floriculture production.,25731.48,BioHarvest,Procured for floriculture production operations.,Floriculture Production
Activities related to citrus (except orange) groves.,40342.41,CropGen,Procured for citrus (except orange) groves operations.,Citrus (except Orange) Groves
Activities related to turkey production.,17768.46,EcoFarms,Procured for turkey production operations.,Turkey Production
Activities related to broilers and other meat type chicken production.,10735.75,AgriCorp,Procured for broilers and other meat type chicken production operations.,Broilers and Other Meat Type Chicken Production
Activities related to other aquaculture.,21819.13,BioHarvest,Procured for other aquaculture operations.,Other Aquaculture
Activities related to fur-bearing animal and rabbit production.,25852.37,FreshFields,Procured for fur-bearing animal and rabbit production operations.,Fur-Bearing Animal and Rabbit Production
Activities related to soybean farming.,24837.46,CropGen,Procured for soybean farming operations.,Soybean Farming
Activities related to tobacco farming.,22946.3,FreshFields,Procured for tobacco farming operations.,Tobacco Farming
Activities related to goat farming.,4533.61,FreshFields,Procured for goat farming operations.,Goat Farming
Activities related to corn farming.,11977.6,AgriCorp,Procured for corn farming operations.,Corn Farming
Activities related to all other miscellaneous crop farming.,26917.58,AgriCorp,Procured for all other miscellaneous crop farming operations.,All Other Miscellaneous Crop Farming
Activities related to peanut farming.,15624.97,FreshFields,Procured for peanut farming operations.,Peanut Farming
Activities related to cattle feedlots.,48604.41,EcoFarms,Procured for cattle feedlots operations.,Cattle Feedlots
Activities related to hay farming.,37804.01,BioHarvest,Procured for hay farming operations.,Hay Farming
Activities related to finfish farming and fish hatcheries.,43504.96,CropGen,Procured for finfish farming and fish hatcheries operations.,Finfish Farming and Fish Hatcheries
Activities related to poultry hatcheries.,26150.06,EcoFarms,Procured for poultry hatcheries operations.,Poultry Hatcheries
Activities related to mushroom production.,1675.21,AgriCorp,Procured for mushroom production operations.,Mushroom Production
Activities related to strawberry farming.,12473.74,BioHarvest,Procured for strawberry farming operations.,Strawberry Farming
Activities related to hog and pig farming.,46195.74,AgriCorp,Procured for hog and pig farming operations.,Hog and Pig Farming
Activities related to soybean farming.,32637.0,BioHarvest,Procured for soybean farming operations.,Soybean Farming
Activities related to shellfish farming.,46963.54,CropGen,Procured for shellfish farming operations.,Shellfish Farming
Activities related to dairy cattle and milk production.,7879.96,FreshFields,Procured for dairy cattle and milk production operations.,Dairy Cattle and Milk Production
Activities related to finfish farming and fish hatcheries.,2455.59,AgriCorp,Procured for finfish farming and fish hatcheries operations.,Finfish Farming and Fish Hatcheries
Activities related to other poultry production.,18763.27,FreshFields,Procured for other poultry production operations.,Other Poultry Production
Activities related to all other animal production.,3035.59,FreshFields,Procured for all other animal production operations.,All Other Animal Production
Activities related to peanut farming.,33026.67,AgriCorp,Procured for peanut farming operations.,Peanut Farming
Activities related to soybean farming.,20357.01,EcoFarms,Procured for soybean farming operations.,Soybean Farming
Activities related to goat farming.,22088.77,FreshFields,Procured for goat farming operations.,Goat Farming
Activities related to floriculture production.,29953.64,CropGen,Procured for floriculture production operations.,Floriculture Production
Activities related to sugar beet farming.,36473.66,AgriCorp,Procured for sugar beet farming operations.,Sugar Beet Farming
Activities related to dual-purpose cattle ranching and farming.,38550.21,FreshFields,Procured for dual-purpose cattle ranching and farming operations.,Dual-Purpose Cattle Ranching and Farming
Activities related to cotton farming.,14819.9,AgriCorp,Procured for cotton farming operations.,Cotton Farming
Activities related to mushroom production.,22894.56,AgriCorp,Procured for mushroom production operations.,Mushroom Production
Activities related to all other miscellaneous crop farming.,35347.24,AgriCorp,Procured for all other miscellaneous crop farming operations.,All Other Miscellaneous Crop Farming
Activities related to floriculture production.,48870.19,FreshFields,Procured for floriculture production operations.,Floriculture Production
Activities related to other vegetable (except potato) and melon farming.,2140.77,BioHarvest,Procured for other vegetable (except potato) and melon farming operations.,Other Vegetable (except Potato) and Melon Farming
Activities related to other aquaculture.,28814.64,EcoFarms,Procured for other aquaculture operations.,Other Aquaculture
Activities related to oilseed and grain combination farming.,10411.6,CropGen,Procured for oilseed and grain combination farming operations.,Oilseed and Grain Combination Farming
Activities related to beef cattle ranching and farming.,13470.16,FreshFields,Procured for beef cattle ranching and farming operations.,Beef Cattle Ranching and Farming
Activities related to chicken egg production.,45020.61,CropGen,Procured for chicken egg production operations.,Chicken Egg Production
Activities related to mushroom production.,34936.19,BioHarvest,Procured for mushroom production operations.,Mushroom Production
Activities related to floriculture production.,22446.8,CropGen,Procured for floriculture production operations.,Floriculture Production
Activities related to other aquaculture.,40729.15,CropGen,Procured for other aquaculture operations.,Other Aquaculture
Activities related to tree nut farming.,17829.1,CropGen,Procured for tree nut farming operations.,Tree Nut Farming
Activities related to goat farming.,3431.5,EcoFarms,Procured for goat farming operations.,Goat Farming
Activities related to nursery and tree production.,15357.62,CropGen,Procured for nursery and tree production operations.,Nursery and Tree Production
Activities related to finfish farming and fish hatcheries.,2029.01,EcoFarms,Procured for finfish farming and fish hatcheries operations.,Finfish Farming and Fish Hatcheries
Activities related to wheat farming.,41404.08,BioHarvest,Procured for wheat farming operations.,Wheat Farming
Activities related to all other miscellaneous crop farming.,2294.8,BioHarvest,Procured for all other miscellaneous crop farming operations.,All Other Miscellaneous Crop Farming
Activities related to corn farming.,32528.3,BioHarvest,Procured for corn farming operations.,Corn Farming
Activities related to rice farming.,33358.37,EcoFarms,Procured for rice farming operations.,Rice Farming
Activities related to fur-bearing animal and rabbit production.,26086.78,EcoFarms,Procured for fur-bearing animal and rabbit production operations.,Fur-Bearing Animal and Rabbit Production
Activities related to oilseed (except soybean) farming.,24252.47,AgriCorp,Procured for oilseed (except soybean) farming operations.,Oilseed (except Soybean) Farming
Activities related to poultry hatcheries.,1132.78,BioHarvest,Procured for poultry hatcheries operations.,Poultry Hatcheries
Activities related to berry (except strawberry) farming.,2053.39,CropGen,Procured for berry (except strawberry) farming operations.,Berry (except Strawberry) Farming
Activities related to fruit and tree nut combination farming.,35225.78,BioHarvest,Procured for fruit and tree nut combination farming operations.,Fruit and Tree Nut Combination Farming
Activities related to dry pea and bean farming.,42376.91,FreshFields,Procured for dry pea and bean farming operations.,Dry Pea and Bean Farming
Activities related to fruit and tree nut combination farming.,32313.27,EcoFarms,Procured for fruit and tree nut combination farming operations.,Fruit and Tree Nut Combination Farming
Activities related to dairy cattle and milk production.,33859.3,EcoFarms,Procured for dairy cattle and milk production operations.,Dairy Cattle and Milk Production
Activities related to horses and other equine production.,26750.92,EcoFarms,Procured for horses and other equine production operations.,Horses and Other Equine Production
Activities related to apple orchards.,49837.29,AgriCorp,Procured for apple orchards operations.,Apple Orchards
Activities related to all other animal production.,13289.05,FreshFields,Procured for all other animal production operations.,All Other Animal Production
Activities related to orange groves.,28349.01,AgriCorp,Procured for orange groves operations.,Orange Groves
Activities related to dairy cattle and milk production.,25666.09,BioHarvest,Procured for dairy cattle and milk production operations.,Dairy Cattle and Milk Production
Activities related to potato farming.,31830.8,EcoFarms,Procured for potato farming operations.,Potato Farming
Activities related to citrus (except orange) groves.,49009.56,AgriCorp,Procured for citrus (except orange) groves operations.,Citrus (except Orange) Groves
Activities related to oilseed (except soybean) farming.,48955.08,CropGen,Procured for oilseed (except soybean) farming operations.,Oilseed (except Soybean) Farming
Activities related to poultry hatcheries.,7475.26,CropGen,Procured for poultry hatcheries operations.,Poultry Hatcheries
Activities related to other food crops grown under cover.,22277.44,AgriCorp,Procured for other food crops grown under cover operations.,Other Food Crops Grown Under Cover
Activities related to all other miscellaneous crop farming.,41448.29,CropGen,Procured for all other miscellaneous crop farming operations.,All Other Miscellaneous Crop Farming
Activities related to finfish farming and fish hatcheries.,38212.61,FreshFields,Procured for finfish farming and fish hatcheries operations.,Finfish Farming and Fish Hatcheries
Activities related to sheep farming.,39210.77,CropGen,Procured for sheep farming operations.,Sheep Farming
Activities related to nursery and tree production.,14053.59,AgriCorp,Procured for nursery and tree production operations.,Nursery and Tree Production
Activities related to fruit and tree nut combination farming.,35507.85,EcoFarms,Procured for fruit and tree nut combination farming operations.,Fruit and Tree Nut Combination Farming
Activities related to all other grain farming.,19282.61,FreshFields,Procured for all other grain farming operations.,All Other Grain Farming
Activities related to oilseed and grain combination farming.,16361.24,BioHarvest,Procured for oilseed and grain combination farming operations.,Oilseed and Grain Combination Farming
Activities related to mushroom production.,29159.24,FreshFields,Procured for mushroom production operations.,Mushroom Production
Activities related to rice farming.,17014.54,BioHarvest,Procured for rice farming operations.,Rice Farming
Activities related to sheep farming.,37289.87,FreshFields,Procured for sheep farming operations.,Sheep Farming
Activities related to hay farming.,21620.23,AgriCorp,Procured for hay farming operations.,Hay Farming
Activities related to nursery and tree production.,34675.6,EcoFarms,Procured for nursery and tree production operations.,Nursery and Tree Production
Activities related to hay farming.,45668.27,BioHarvest,Procured for hay farming operations.,Hay Farming
Activities related to cotton farming.,14208.4,CropGen,Procured for cotton farming operations.,Cotton Farming
Activities related to potato farming.,46860.1,AgriCorp,Procured for potato farming operations.,Potato Farming
Activities related to strawberry farming.,25198.28,CropGen,Procured for strawberry farming operations.,Strawberry Farming
Activities related to corn farming.,46855.43,EcoFarms,Procured for corn farming operations.,Corn Farming
Activities related to strawberry farming.,7659.62,FreshFields,Procured for strawberry farming operations.,Strawberry Farming
Activities related to chicken egg production.,10169.7,FreshFields,Procured for chicken egg production operations.,Chicken Egg Production
Activities related to nursery and tree production.,15506.43,CropGen,Procured for nursery and tree production operations.,Nursery and Tree Production
Activities related to broilers and other meat type chicken production.,21541.84,AgriCorp,Procured for broilers and other meat type chicken production operations.,Broilers and Other Meat Type Chicken Production
Activities related to other noncitrus fruit farming.,44372.96,FreshFields,Procured for other noncitrus fruit farming operations.,Other Noncitrus Fruit Farming
Activities related to tree nut farming.,14446.21,AgriCorp,Procured for tree nut farming operations.,Tree Nut Farming
Activities related to apple orchards.,44593.99,CropGen,Procured for apple orchards operations.,Apple Orchards
Activities related to soybean farming.,7552.02,EcoFarms,Procured for soybean farming operations.,Soybean Farming
Activities related to orange groves.,41358.41,CropGen,Procured for orange groves operations.,Orange Groves
Activities related to fur-bearing animal and rabbit production.,11842.87,AgriCorp,Procured for fur-bearing animal and rabbit production operations.,Fur-Bearing Animal and Rabbit Production
Activities related to dry pea and bean farming.,1844.24,EcoFarms,Procured for dry pea and bean farming operations.,Dry Pea and Bean Farming
Activities related to citrus (except orange) groves.,27101.91,CropGen,Procured for citrus (except orange) groves operations.,Citrus (except Orange) Groves
Activities related to fur-bearing animal and rabbit production.,14855.72,BioHarvest,Procured for fur-bearing animal and rabbit production operations.,Fur-Bearing Animal and Rabbit Production
Activities related to citrus (except orange) groves.,49283.08,BioHarvest,Procured for citrus (except orange) groves operations.,Citrus (except Orange) Groves
Activities related to broilers and other meat type chicken production.,43967.28,CropGen,Procured for broilers and other meat type chicken production operations.,Broilers and Other Meat Type Chicken Production
Activities related to sheep farming.,3446.47,EcoFarms,Procured for sheep farming operations.,Sheep Farming
Activities related to tree nut farming.,7351.35,EcoFarms,Procured for tree nut farming operations.,Tree Nut Farming
Activities related to turkey production.,9508.81,AgriCorp,Procured for turkey production operations.,Turkey Production
Activities related to hog and pig farming.,2678.7,BioHarvest,Procured for hog and pig farming operations.,Hog and Pig Farming
Activities related to all other grain farming.,33772.28,EcoFarms,Procured for all other grain farming operations.,All Other Grain Farming
Activities related to dry pea and bean farming.,44480.66,CropGen,Procured for dry pea and bean farming operations.,Dry Pea and Bean Farming
Activities related to finfish farming and fish hatcheries.,16953.92,FreshFields,Procured for finfish farming and fish hatcheries operations.,Finfish Farming and Fish Hatcheries
Activities related to fruit and tree nut combination farming.,42656.24,FreshFields,Procured for fruit and tree nut combination farming operations.,Fruit and Tree Nut Combination Farming
Activities related to other food crops grown under cover.,12900.17,EcoFarms,Procured for other food crops grown under cover operations.,Other Food Crops Grown Under Cover
Activities related to apiculture.,45538.6,EcoFarms,Procured for apiculture operations.,Apiculture
Activities related to other vegetable (except potato) and melon farming.,45870.54,CropGen,Procured for other vegetable (except potato) and melon farming operations.,Other Vegetable (except Potato) and Melon Farming
Activities related to fur-bearing animal and rabbit production.,41157.74,AgriCorp,Procured for fur-bearing animal and rabbit production operations.,Fur-Bearing Animal and Rabbit Production
Activities related to apiculture.,19377.65,AgriCorp,Procured for apiculture operations.,Apiculture
Activities related to citrus (except orange) groves.,15621.36,AgriCorp,Procured for citrus (except orange) groves operations.,Citrus (except Orange) Groves
Activities related to other vegetable (except potato) and melon farming.,25371.53,FreshFields,Procured for other vegetable (except potato) and melon farming operations.,Other Vegetable (except Potato) and Melon Farming
Activities related to rice farming.,5411.38,CropGen,Procured for rice farming operations.,Rice Farming
Activities related to other poultry production.,48394.71,EcoFarms,Procured for other poultry production operations.,Other Poultry Production
Activities related to other poultry production.,38392.43,FreshFields,Procured for other poultry production operations.,Other Poultry Production
Activities related to beef cattle ranching and farming.,19796.85,BioHarvest,Procured for beef cattle ranching and farming operations.,Beef Cattle Ranching and Farming
Activities related to other food crops grown under cover.,19504.95,EcoFarms,Procured for other food crops grown under cover operations.,Other Food Crops Grown Under Cover
Activities related to horses and other equine production.,36608.36,AgriCorp,Procured for horses and other equine production operations.,Horses and Other Equine Production
Activities related to sheep farming.,37522.54,CropGen,Procured for sheep farming operations.,Sheep Farming
Activities related to strawberry farming.,47604.93,CropGen,Procured for strawberry farming operations.,Strawberry Farming
Activities related to berry (except strawberry) farming.,3338.68,BioHarvest,Procured for berry (except strawberry) farming operations.,Berry (except Strawberry) Farming
Activities related to floriculture production.,29087.06,BioHarvest,Procured for floriculture production operations.,Floriculture Production
Activities related to cotton farming.,40019.33,CropGen,Procured for cotton farming operations.,Cotton Farming
Activities related to cattle feedlots.,26870.36,CropGen,Procured for cattle feedlots operations.,Cattle Feedlots
Activities related to horses and other equine production.,2739.4,EcoFarms,Procured for horses and other equine production operations.,Horses and Other Equine Production
Activities related to oilseed (except soybean) farming.,16149.24,AgriCorp,Procured for oilseed (except soybean) farming operations.,Oilseed (except Soybean) Farming
Activities related to other aquaculture.,3112.27,BioHarvest,Procured for other aquaculture operations.,Other Aquaculture
Activities related to dual-purpose cattle ranching and farming.,37398.21,CropGen,Procured for dual-purpose cattle ranching and farming operations.,Dual-Purpose Cattle Ranching and Farming
Activities related to poultry hatcheries.,18830.56,AgriCorp,Procured for poultry hatcheries operations.,Poultry Hatcheries
Activities related to other food crops grown under cover.,48290.49,EcoFarms,Procured for other food crops grown under cover operations.,Other Food Crops Grown Under Cover
Activities related to hay farming.,12530.57,BioHarvest,Procured for hay farming operations.,Hay Farming
Activities related to other poultry production.,9268.36,FreshFields,Procured for other poultry production operations.,Other Poultry Production
Activities related to apple orchards.,2819.98,FreshFields,Procured for apple orchards operations.,Apple Orchards
Activities related to wheat farming.,1713.61,AgriCorp,Procured for wheat farming operations.,Wheat Farming
Activities related to hay farming.,1157.28,BioHarvest,Procured for hay farming operations.,Hay Farming
Activities related to all other animal production.,23578.85,BioHarvest,Procured for all other animal production operations.,All Other Animal Production
Activities related to cattle feedlots.,28802.89,CropGen,Procured for cattle feedlots operations.,Cattle Feedlots
Activities related to wheat farming.,22690.57,EcoFarms,Procured for wheat farming operations.,Wheat Farming
Activities related to other aquaculture.,30034.27,FreshFields,Procured for other aquaculture operations.,Other Aquaculture
Activities related to cotton farming.,42747.41,CropGen,Procured for cotton farming operations.,Cotton Farming
Activities related to other food crops grown under cover.,31533.45,CropGen,Procured for other food crops grown under cover operations.,Other Food Crops Grown Under Cover
Activities related to fur-bearing animal and rabbit production.,32803.15,BioHarvest,Procured for fur-bearing animal and rabbit production operations.,Fur-Bearing Animal and Rabbit Production
Activities related to berry (except strawberry) farming.,34385.18,CropGen,Procured for berry (except strawberry) farming operations.,Berry (except Strawberry) Farming
Activities related to oilseed and grain combination farming.,1275.57,BioHarvest,Procured for oilseed and grain combination farming operations.,Oilseed and Grain Combination Farming
Activities related to dry pea and bean farming.,49456.33,EcoFarms,Procured for dry pea and bean farming operations.,Dry Pea and Bean Farming
Activities related to cattle feedlots.,6874.18,AgriCorp,Procured for cattle feedlots operations.,Cattle Feedlots
Activities related to sugar beet farming.,15212.67,EcoFarms,Procured for sugar beet farming operations.,Sugar Beet Farming
Activities related to mushroom production.,47033.1,EcoFarms,Procured for mushroom production operations.,Mushroom Production
Activities related to dual-purpose cattle ranching and farming.,19193.64,FreshFields,Procured for dual-purpose cattle ranching and farming operations.,Dual-Purpose Cattle Ranching and Farming
Activities related to berry (except strawberry) farming.,30403.06,AgriCorp,Procured for berry (except strawberry) farming operations.,Berry (except Strawberry) Farming
Activities related to other noncitrus fruit farming.,17108.54,CropGen,Procured for other noncitrus fruit farming operations.,Other Noncitrus Fruit Farming
Activities related to beef cattle ranching and farming.,46079.73,FreshFields,Procured for beef cattle ranching and farming operations.,Beef Cattle Ranching and Farming
Activities related to other aquaculture.,10339.42,FreshFields,Procured for other aquaculture operations.,Other Aquaculture
Activities related to grape vineyards.,28189.75,EcoFarms,Procured for grape vineyards operations.,Grape Vineyards
Activities related to all other grain farming.,18985.95,EcoFarms,Procured for all other grain farming operations.,All Other Grain Farming
Activities related to peanut farming.,1724.74,BioHarvest,Procured for peanut farming operations.,Peanut Farming
Activities related to shellfish farming.,2710.42,EcoFarms,Procured for shellfish farming operations.,Shellfish Farming
Activities related to strawberry farming.,34549.96,BioHarvest,Procured for strawberry farming operations.,Strawberry Farming
Activities related to horses and other equine production.,42855.12,FreshFields,Procured for horses and other equine production operations.,Horses and Other Equine Production
Activities related to oilseed and grain combination farming.,10677.45,EcoFarms,Procured for oilseed and grain combination farming operations.,Oilseed and Grain Combination Farming
Activities related to nursery and tree production.,37459.82,FreshFields,Procured for nursery and tree production operations.,Nursery and Tree Production
Activities related to dairy cattle and milk production.,44564.13,EcoFarms,Procured for dairy cattle and milk production operations.,Dairy Cattle and Milk Production
Activities related to apple orchards.,6257.03,BioHarvest,Procured for apple orchards operations.,Apple Orchards
Activities related to turkey production.,41673.32,EcoFarms,Procured for turkey production operations.,Turkey Production
Activities related to citrus (except orange) groves.,34714.7,FreshFields,Procured for citrus (except orange) groves operations.,Citrus (except Orange) Groves
Activities related to peanut farming.,5576.34,AgriCorp,Procured for peanut farming operations.,Peanut Farming
